Date,Days,Location,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct
12/17/20,5,NH,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,MI,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,WI,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,OR,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,IH2,7060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,NV,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,PA,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,VI,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,WA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,WV,10436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,TX,58150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,IN,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,NJ,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,SC,6831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,UT,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,WY,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,MD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,RI,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,ME,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,CO,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,NY,8514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,VT,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,DD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,KS,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,MS,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,AR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,OH,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,SD,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
